frame,id,x,y
70,63,786,545
70,64,920,206
71,17,785,967
71,6,1548,537
71,28,1106,265
71,50,1344,612
71,43,794,644
71,11,1712,353
71,35,1438,426
71,5,364,452
71,56,1183,499
71,63,785,548
71,7,1472,285
71,48,1130,677
71,64,923,205
72,17,787,966
72,28,1107,266
72,50,1348,613
72,6,1550,538
72,11,1720,355
72,43,803,647
72,56,1185,500
72,5,363,467
72,63,785,548
72,35,1441,428
72,7,1470,289
72,48,1097,673
72,64,924,205
73,17,789,965
73,50,1353,614
73,6,1555,538
73,28,1106,265
73,11,1725,354
73,56,1188,500
73,43,816,649
73,63,781,578
73,5,362,467
73,35,1447,428
73,7,1468,285
73,48,1099,675
73,64,925,203
74,17,788,964
74,50,1360,612
74,63,780,577
74,43,831,652
74,6,1558,543
74,11,1729,354
74,35,1450,428
74,28,1106,266
74,5,362,465
74,56,1190,501
74,7,1468,290
74,48,1091,675
74,64,925,201
75,17,784,965
75,43,835,653
75,11,1736,356
75,63,777,578
75,50,1374,613
75,28,1106,266
75,56,1193,503
75,5,363,456
75,6,1561,544
75,35,1451,429
75,7,1468,291
75,48,1102,675
75,64,930,200
76,17,782,967
76,11,1742,356
76,43,846,650
76,63,779,579
76,28,1105,268
76,56,1195,502
76,50,1387,613
76,5,364,465
76,6,1566,544
76,7,1472,289
76,48,1106,675
76,35,1451,427
76,65,301,294
77,17,780,967
77,63,780,579
77,11,1751,356
77,56,1199,501
77,43,860,648
77,28,1105,267
77,50,1401,611
77,6,1569,546
77,5,366,459
77,7,1474,291
77,48,1115,675
77,35,1454,426
77,65,304,290
78,17,774,966
78,63,786,581
78,43,871,647
78,28,1107,268
78,56,1202,500
78,6,1572,547
78,11,1762,356
78,7,1479,287
78,5,366,457
78,50,1411,612
78,35,1455,422
78,48,1116,676
79,63,791,583
79,17,769,966
79,43,888,646
79,11,1771,353
79,28,1110,270
79,6,1577,547
79,56,1207,503
79,35,1455,423
79,50,1421,614
79,5,366,457
79,48,1119,677
79,7,1483,287
80,11,1782,355
80,17,760,965
80,35,1456,423
80,63,790,582
80,50,1433,615
80,43,905,646
80,6,1583,548
80,48,1150,675
80,5,367,456
80,56,1214,501
80,28,1112,272
80,7,1490,282
81,11,1792,354
81,17,760,966
81,63,791,582
81,35,1458,424
81,48,1152,674
81,6,1589,550
81,43,923,645
81,5,368,456
81,50,1442,615
81,7,1492,293
81,56,1218,504
81,28,1114,271
82,6,1596,551
82,17,761,965
82,63,795,583
82,56,1223,501
82,11,1801,358
82,35,1459,426
82,48,1155,675
82,43,935,647
82,50,1452,617
82,5,369,457
82,28,1116,271
82,7,1496,295
83,6,1604,555
83,17,761,965
83,63,800,582
83,56,1225,503
83,43,947,646
83,11,1812,359
83,48,1128,677
83,5,368,456
83,50,1458,618
83,28,1118,269
83,7,1503,298
83,35,1462,426
83,66,950,193
84,43,961,646
84,17,756,966
84,63,806,584
84,11,1821,360
84,7,1506,298
84,56,1228,505
84,6,1612,557
84,50,1463,620
84,5,367,456
84,48,1131,679
84,35,1467,427
84,28,1120,266
85,17,758,966
85,50,1470,620
85,63,808,586
85,11,1832,362
85,43,976,645
85,7,1510,303
85,56,1235,508
85,48,1137,679
85,5,368,456
85,6,1618,558
85,28,1123,268
85,35,1472,429
86,50,1475,621
86,17,757,967
86,11,1842,361
86,43,988,645
86,6,1627,558
86,63,809,586
86,56,1240,509
86,5,369,456
86,7,1514,306
86,28,1126,270
86,35,1476,427
86,48,1138,675
87,6,1632,560
87,17,756,967
87,43,1001,646
87,11,1849,361
87,63,811,588
87,56,1244,509
87,50,1479,624
87,5,370,455
87,28,1132,265
87,7,1518,304
87,35,1477,428
87,48,1141,672
87,67,967,189
88,17,752,966
88,6,1637,560
88,63,813,590
88,11,1859,364
88,43,1010,647
88,56,1248,508
88,50,1485,624
88,7,1523,311
88,5,373,455
88,35,1473,432
88,28,1134,265
88,48,1147,672
88,68,311,286
88,67,970,187
89,17,751,966
89,6,1641,564
89,43,1024,650
89,63,814,592
89,11,1869,363
89,56,1252,508
89,50,1495,625
89,7,1527,315
89,48,1158,679
89,5,373,456
89,28,1138,267
89,35,1476,433
89,67,973,186
90,69,1112,621
90,70,1373,357
90,71,688,710
90,72,342,546
90,73,394,582
90,74,589,385
90,75,340,359
91,76,1059,612
91,77,412,509
91,70,1415,360
91,78,643,385
91,73,405,541
91,79,1597,349
91,80,397,389
91,81,740,705
91,82,759,389
91,83,1341,537
92,76,1102,603
92,84,463,539
92,85,697,386
92,70,1452,363
92,83,1384,537
93,76,1105,602
93,86,519,534
93,70,1495,360
93,83,1423,528
93,87,1280,523
93,88,844,693
93,89,509,383
94,76,1111,602
94,87,1320,524
94,88,888,690
94,90,570,537
94,83,1457,533
94,91,791,384
94,70,1531,362
94,92,1704,354
95,76,1100,603
95,87,1357,521
95,90,617,535
95,91,834,381
95,83,1484,533
95,93,604,386
95,88,932,683
95,70,1566,359
96,76,1093,610
96,90,661,534
96,91,874,388
96,87,1392,522
96,83,1524,531
96,70,1595,363
96,94,1108,716
96,95,979,350
